country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Iraq,0.155,0.155,0.18,0.18,0.18,0.234,0.234,0.234,0.234,0.252,0.252,0.252,0.252,0.252,0.25,0.25,0.239,0.192,0.192,0.192,0.192,0.181,0.181,0.187,0.187,0.19,0.19,0.19,0.357,0.402,0.43,0.431,0.431,0.431,0.435,0.4,0.4,0.4,0.42,0.386,0.386,0.376,0.392,0.392
Ireland,0.343,0.345,0.39,0.39,0.39,0.407,0.466,0.474,0.488,0.488,0.506,0.51,0.51,0.51,0.51,0.565,0.565,0.597,0.597,0.631,0.631,0.631,0.65,0.65,0.65,0.65,0.65,0.631,0.631,0.631,0.631,0.635,0.659,0.659,0.665,0.665,0.64,0.712,0.679,0.679,0.701,0.752,0.752,0.752
Israel,0.576,0.576,0.562,0.567,0.567,0.567,0.57,0.57,0.57,0.574,0.574,0.574,0.574,0.575,0.575,0.575,0.575,0.603,0.603,0.607,0.607,0.597,0.597,0.597,0.612,0.612,0.624,0.624,0.631,0.631,0.631,0.629,0.629,0.629,0.642,0.642,0.642,0.642,0.652,0.652,0.655,0.655,0.647,0.657
Italy,0.462,0.511,0.511,0.511,0.485,0.504,0.504,0.504,0.529,0.529,0.533,0.533,0.532,0.532,0.532,0.532,0.609,0.606,0.623,0.646,0.646,0.641,0.641,0.641,0.641,0.641,0.646,0.646,0.646,0.649,0.649,0.673,0.673,0.692,0.692,0.692,0.692,0.692,0.775,0.775,0.775,0.775,0.792,0.618
Jamaica,0.584,0.601,0.601,0.601,0.608,0.66,0.66,0.66,0.664,0.664,0.672,0.672,0.672,0.672,0.652,0.711,0.719,0.719,0.734,0.734,0.734,0.734,0.749,0.749,0.756,0.756,0.756,0.744,0.744,0.744,0.744,0.785,0.788,0.788,0.788,0.788,0.798,0.798,0.826,0.826,0.826,0.878,0.855,0.855
Japan,0.418,0.418,0.418,0.418,0.421,0.418,0.418,0.421,0.421,0.421,0.421,0.473,0.473,0.473,0.476,0.511,0.511,0.511,0.511,0.511,0.524,0.51,0.513,0.513,0.513,0.538,0.551,0.551,0.56,0.563,0.56,0.56,0.56,0.56,0.55,0.55,0.55,0.559,0.573,0.583,0.557,0.557,0.578,0.567
Jordan,0.142,0.142,0.142,0.142,0.142,0.209,0.214,0.214,0.214,0.224,0.224,0.224,0.224,0.247,0.329,0.329,0.329,0.329,0.359,0.359,0.359,0.362,0.332,0.332,0.332,0.338,0.343,0.349,0.402,0.402,0.402,0.402,0.407,0.407,0.411,0.411,0.423,0.423,0.419,0.423,0.423,0.446,0.435,0.435
Kazakhstan,,,,,,,,,,,,,,,,,0.533,0.533,0.533,0.533,0.541,0.545,0.548,0.548,0.546,0.546,0.546,0.546,0.546,0.549,0.553,0.553,0.572,0.572,0.561,0.572,0.564,0.58,0.567,0.567,0.567,0.599,0.584,0.609
Kenya,0.263,0.263,0.263,0.263,0.256,0.261,0.295,0.295,0.267,0.267,0.267,0.272,0.272,0.272,0.272,0.299,0.299,0.388,0.4,0.4,0.4,0.4,0.396,0.396,0.396,0.422,0.413,0.421,0.421,0.421,0.421,0.421,0.453,0.457,0.457,0.491,0.504,0.504,0.525,0.525,0.525,0.534,0.474,0.459
Kuwait,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.149,0.149,0.149,0.166,0.166,0.177,0.177,0.177,0.177,0.177,0.177,0.177,0.177,0.18,0.18,0.18,0.18,0.18,0.237,0.279,0.279,0.297,0.335,0.335,0.335,0.337,0.325,0.325,0.325,0.315,0.319,0.362
Kyrgyz Republic,,,,,,,,,,,,,,,,,0.443,0.443,0.443,0.445,0.478,0.478,0.478,0.478,0.478,0.49,0.49,0.49,0.49,0.49,0.463,0.466,0.53,0.53,0.54,0.548,0.542,0.545,0.55,0.55,0.517,0.574,0.616,0.566
Lao,0.254,0.347,0.347,0.351,0.351,0.351,0.351,0.351,0.351,0.351,0.351,0.351,0.351,0.351,0.36,0.364,0.364,0.385,0.385,0.385,0.385,0.385,0.406,0.406,0.406,0.406,0.406,0.409,0.409,0.422,0.422,0.438,0.438,0.438,0.438,0.438,0.444,0.444,0.451,0.451,0.451,0.453,0.508,0.492
Latvia,,,,,,,,,,,,,,,,,0.594,0.646,0.669,0.669,0.656,0.656,0.661,0.724,0.724,0.724,0.724,0.72,0.746,0.771,0.771,0.775,0.775,0.775,0.779,0.766,0.795,0.795,0.778,0.759,0.759,0.796,0.777,0.777
