Rank,AllPos,AllNeg,TopPos,TopNeg,Movie,ReleaseDate,ReleaseMonth,Revenues,year
89,166,59,23,17,Signs (Disney),8/2/02,Aug,227966979.00,2002
90,87,128,14,27,Hancock (Sony / Columbia),7/2/08,Jul,227946076.00,2008
91,221,15,40,1,The Bourne Ultimatum (Universal),8/3/07,Aug,227471923.00,2007
92,66,61,18,16,Rush Hour 2 (New Line),8/3/01,Aug,226164771.00,2001
93,226,9,41,1,WALL-E (Disney),6/27/08,Jun,223808838.00,2008
94,43,82,9,18,National Treasure: Book of Secrets (Disney),12/21/07,Dec,219964410.00,2007
95,17,65,3,17,Alvin and the Chipmunks: The Squeakquel (Fox),12/23/09,Dec,219615000.00,2009
96,35,14,7,1,Mrs. Doubtfire (Fox),11/24/93,Nov,219195038.00,1993
97,85,7,23,1,Beauty and the Beast (1991) (Disney),11/13/91,Nov,218967717.00,1991
98,135,60,23,14,Ted (2012) (Universal),6/29/12,Jun,218665740.00,2012
99,216,42,35,9,King Kong (2005) (Universal),12/14/05,Dec,218135164.00,2005
100,36,8,5,0,Ghost (Paramount),7/13/90,Jul,217631141.00,1990
101,169,3,28,2,How to Train Your Dragon (Paramount / DreamWorks),3/26/10,Mar,217581231.00,2010
102,55,165,4,40,The Da Vinci Code (Sony / Columbia),5/19/06,May,217536399.00,2006
103,48,4,10,0,Aladdin (Disney),11/11/92,Nov,217350045.00,1992
104,28,80,6,20,Alvin and the Chipmunks (Fox),12/14/07,Dec,217326629.00,2007
105,95,27,15,11,Madagascar 3: Europe's Most Wanted (Paramount / DreamWorks),6/8/12,Jun,216391482.00,2012
106,88,7,18,2,Saving Private Ryan (DreamWorks),7/24/98,Jul,216335032.00,1998
107,147,20,28,8,Kung Fu Panda (Paramount / DreamWorks),6/6/08,Jun,215434591.00,2008
108,81,60,19,12,Mission: Impossible II (Paramount),5/24/00,May,215409290.00,2000
109,195,27,34,7,X2: X-Men United (Fox),5/2/03,May,214949672.00,2003
110,80,66,13,14,Dr. Seuss' The Lorax (Universal),3/2/12,Mar,214030500.00,2012
111,99,83,22,16,Austin Powers in Goldmember (New Line),7/26/02,Jul,213243496.00,2002
112,134,91,20,23,300 (Warner Bros.),3/9/07,Mar,210614690.00,2007
113,59,2,6,1,Back to the Future (Universal),7/3/85,Jul,210609043.00,1985
114,142,41,28,6,Fast Five (Universal),4/29/11,Apr,209837675.00,2011
115,194,13,35,1,Mission: Impossible - Ghost Protocol (Paramount),12/16/11,Dec,209397903.00,2011
116,137,45,30,11,Wedding Crashers (New Line),7/15/05,Jul,209218166.00,2005
117,161,68,22,18,Sherlock Holmes (Warner Bros.),12/25/09,Dec,209028670.00,2009
118,224,39,28,17,Batman Begins (Warner Bros.),6/15/05,Jun,206852432.00,2005
119,182,40,36,7,Charlie and the Chocolate Factory (Warner Bros.),7/15/05,Jul,206459266.00,2005
120,211,8,43,1,Ratatouille (Disney),6/29/07,Jun,206445374.00,2007
121,43,42,11,9,Austin Powers: The Spy Who Shagged Me (New Line),6/11/99,Jun,206040556.00,1999
122,45,1,10,1,Terminator 2: Judgment Day (TriStar),7/3/91,Jul,204843975.00,1991
123,45,7,7,2,The Exorcist (Warner Bros.),12/26/73,Dec,204671948.00,1973
124,66,73,15,19,The Mummy Returns (Universal),5/4/01,May,202019384.00,2001
125,32,50,3,16,Armageddon (Disney),7/1/98,Jul,201578020.00,1998
126,164,19,29,3,Tangled (Disney),11/24/10,Nov,200821936.00,2010
127,196,61,33,12,Superman Returns (Warner Bros.),6/28/06,Jun,200081220.00,2006
128,64,3,15,2,Gone with the Wind (MGM),12/15/39,Dec,198676568.00,1939
129,42,124,7,30,Pearl Harbor (Disney),5/25/01,May,198542513.00,2001
130,150,59,24,15,Monsters vs. Aliens (Paramount / DreamWorks),3/27/09,Mar,198351649.00,2009
131,120,41,31,6,Happy Feet (Warner Bros.),11/17/06,Nov,198000841.00,2006
132,50,6,5,2,Indiana Jones and the Last Crusade (Paramount),5/24/89,May,197171932.00,1989
133,71,87,11,23,Ice Age: Dawn of the Dinosaurs (Fox),7/1/09,Jul,196573063.00,2009
134,82,61,18,11,Ice Age: The Meltdown (Fox),3/31/06,Mar,195330482.00,2006
135,102,83,14,23,Madagascar (DreamWorks),5/27/05,May,193595331.00,2005
136,101,105,21,18,Twilight (2008) (Summit),11/21/08,Nov,192769480.00,2008
137,76,0,18,0,Toy Story (Disney),11/22/95,Nov,191796910.00,1995
138,76,123,17,20,Cars 2 (Disney),6/24/11,Jun,191452396.00,2011
139,75,118,14,21,Men in Black II (Sony / Columbia),7/3/02,Jul,190418608.00,2002
140,45,10,9,2,Grease (Paramount),6/16/78,Jun,188389752.00,1978
141,125,35,27,10,Gladiator (2000) (DreamWorks),5/5/00,May,187705497.00,2000
142,122,80,17,21,Sherlock Holmes: A Game of Shadows (Warner Bros.),12/16/11,Dec,186848418.00,2011
143,95,115,18,25,The Day After Tomorrow (Fox),5/28/04,May,186740702.00,2004
144,119,86,18,22,Mr. & Mrs. Smith (2005) (Fox),6/10/05,Jun,186336564.00,2005
145,39,1,6,0,Snow White and the Seven Dwarfs (Disney / RKO),12/21/37,Dec,184925342.00,1937
146,40,11,7,3,Dances with Wolves (Orion),11/9/90,Nov,184208763.00,1990
147,24,34,10,4,Batman Forever (Warner Bros.),6/16/95,Jun,184134515.00,1995
148,50,3,9,0,The Fugitive (1993) (Warner Bros.),8/6/93,Aug,183875616.00,1993
149,137,31,29,5,Ocean's Eleven (Warner Bros.),12/7/01,Dec,183417424.00,2001
150,176,20,34,7,The Simpsons Movie (Fox),7/27/07,Jul,183135831.00,2007
151,65,56,22,12,What Women Want (2000) (Paramount),12/15/00,Dec,182811707.00,2000
152,106,82,22,18,The Polar Express (Warner Bros.),11/10/04,Nov,182704446.00,2004
153,62,70,12,16,The Perfect Storm (Warner Bros.),6/30/00,Jun,182618117.00,2000
154,43,10,14,2,Liar Liar (Universal),3/21/97,Mar,181410469.00,1997
155,78,79,9,23,Jurassic Park III (Universal),7/18/01,Jul,181171459.00,2001
156,197,59,26,14,Thor (Paramount),5/6/11,May,181030624.00,2011
157,30,19,10,9,Mission: Impossible (Paramount),5/22/96,May,180981223.00,1996
158,70,86,10,22,Planet of the Apes (2001) (Fox),7/27/01,Jul,180011204.00,2001
159,96,54,18,12,Madagascar: Escape 2 Africa (Paramount / DreamWorks),11/7/08,Nov,180010757.00,2008
160,94,158,8,36,X-Men Origins: Wolverine (Fox),5/1/09,May,179879302.00,2009
161,51,9,4,3,Indiana Jones and the Temple of Doom (Paramount),5/23/84,May,179870426.00,1984
162,124,55,22,13,Hitch (Sony / Columbia),2/11/05,Feb,179495994.00,2005
163,154,67,25,10,Men in Black 3 (Sony / Columbia),5/25/12,May,179020854.00,2012
164,34,21,6,3,Pretty Woman (Disney),3/23/90,Mar,178406922.00,1990
165,70,93,13,19,Night at the Museum: Battle of the Smithsonian (Fox),5/22/09,May,177241680.00,2009
166,35,5,6,0,Tootsie (Columbia),12/17/82,Dec,177200382.00,1982
167,20,20,2,4,Top Gun (Paramount),5/16/86,May,176786720.00,1986
168,201,42,33,9,Rise of the Planet of the Apes (Fox),8/5/11,Aug,176760185.00,2011
169,172,45,31,10,Captain America: The First Avenger (Paramount),7/22/11,Jul,176654505.00,2011
170,133,66,22,12,The Karate Kid (2010) (Sony / Columbia),6/11/10,Jun,176591618.00,2010
171,68,14,19,5,There's Something About Mary (Fox),7/15/98,Jul,176489373.00,1998
